result,question_id,question,A,B,C,D,answer,subject,correct,model_name
C,11878,"A landowner owned a 10-acre tract of land, in fee simple. The tract was located in a small town. In 1974, the landowner conveyed the tract to the town development association ""on condition that a ski lodge and resort area be built thereon and the land be used solely for skiing purposes and, in the event that said property is not used as a ski resort, the property shall revert to myself, the grantor, my heirs or assigns. "" Subsequently, a ski lodge was built and the land was continuously used as a ski resort for more than 20 years. In 1979, a neighbor, owner of a farm abutting the northeast corner of the 10-acre tract, began to use a portion of the 10-acre tract for ingress and egress to his farm. He used this access road openly, visibly, and notoriously until 2000. The period of prescription in this particular jurisdiction was 20 years. In March 2000, the neighbor decided to sell the farm to a skier. Thereupon, the neighbor and the skier entered into a written real estate sales contract, with closing set for May 1, 2000. On April 1, 2000, the president of the town development association was approached by the skier with the request that a written easement be given over the used area and that an appropriate instrument be delivered to the skier concurrently with the skier's closing with the neighbor. Following the president's meeting with the skier, the town development association held a duly announced meeting and voted unanimously to authorize its trustees to grant such an easement. On April 15, 2000, the landowner died. The landowner's sole descendant and successor in interest was his wife. Upon her husband's death, the wife immediately notified the town development association that if it granted the easement to the skier, the 10-acre tract would revert to her. The skier then brought an appropriate action, joining the neighbor, the wife, and the town development association, seeking a declaratory judgment that the neighbor has a perpetual easement appurtenant to the 10-acre tract. In this action, judgment should be in favor of which of the following parties?","The wife, because the skier could not obtain rights against the town development association by prescription.","The wife, because the easement would violate the negative restriction that the landowner originally sought to impose.","The skier, because the neighbor had already obtained an easement by prescription.","The skier, because the language of the conveyance to the town development association was too vague to support any claim by the wife.",C,professional law,True,X
A,11879,"A professor owned a building in a city. The building had a commercial space on the first floor, with two apartments above it; one on the second, and another on the third floor. Several years ago, a teacher, in a signed writing, entered a three-year lease agreement with the professor. The teacher agreed to pay $800 monthly rent for the third-floor apartment in the professor's building. The original three-year term had long since expired, but the teacher has continued to pay his rent, and the professor continued to accept it. The professor rented the first floor to a restaurateur, who opened a sushi restaurant there. Within months, there was a citywide hookworm epidemic that was traced to the consumption of raw fish. The city council, in an attempt to protect the public from the parasites, passed an ordinance prohibiting all sushi restaurants from operating in the city. The restaurateur was forced out of business. She locked the doors and left a sign in the window: ""Closed until further notice. ""Within weeks, rats were attracted to the odor from the fish that was left in the restaurant, and the building became infested with them. The teacher could not tolerate the rats and served notice on the professor that he was moving to another city and has not been heard from since. The teacher's best defense is that the professor, by permitting the restaurateur to store the fish in the closed restaurant, caused a",partial constructive eviction.,partial actual eviction.,constructive eviction.,breach of implied covenant of habitability.,C,professional law,False,X
A,11880,"A truck and a car collided at an intersection. Both drivers were injured, and each one filed a lawsuit against the other for negligence. At trial, the jury found each of the drivers liable for negligence. The jury found that the amount of the truck driver's injuries was $10,000, and the amount of the car driver's injuries was $8,000. The jury assigned 50 percent of the fault for the accident to the truck driver and 50 percent of the fault to the car driver. Assume that the jurisdiction has a statute in effect that provides: ""Contributory negligence shall not bar recovery in an action to recover damages for negligence resulting in injury to person or property if such negligence was not as great as the negligence of the person from whom recovery is sought. Any damages allowed shall be diminished in proportion to the amount of negligence attributable to the person who is seeking recovery. ""Which of the following is the appropriate judgment in the case?","The truck driver recovers $10,000, and the car driver recovers $8,000.","The truck driver recovers $5,000, and the car driver recovers $4,000.","The truck driver recovers $1,000, and the car driver recovers nothing.",Neither party recovers anything from the other.,D,professional law,False,X
A,11881,"A man, a woman, and their son went to their neighbor's house. The man intended to take back some tools that he believed were his and that the neighbor was keeping unlawfully. The woman believed that the tools were the man's, and she intended to help the man take them. When the son learned that the man and the woman were going to break into the neighbor's home, he decided to accompany them. The son planned to find some items inside that might be worth taking. Arriving at the neighbor's home, the man opened the front door, which was closed but unlocked. Upon entering, the son went to the neighbor's upstairs bedroom and found a watch, which he took. In the meantime, the man and the woman went to the garage and began rummaging through the neighbor's tools. The man found the tools, which he seized. The three of them then left the neighbor's home. In this jurisdiction, burglary is defined as the breaking and entering of any structure with the intent to commit a felony therein. Which, if any, individuals should be found guilty of conspiracy?","The man, the woman, and the son.",The man and the woman.,The woman and the son.,None.,D,professional law,False,X
A,11882,"A 2-week-old baby had developed a severe case ofjaundice. A pediatrician informed the infant's father that unless his daughter received immediate medical treatment, she would die. The father, who was very religious, refused to permit the pediatrician to administer the necessary treatment. He explained that his faith in his religion would restore his daughter to good health. As a consequence, the pediatrician sought an order from the state court, where the father was present, permitting the pediatrician to provide the necessary medical treatment to the infant. Which of the following is the father's strongest constitutional argument against the court order?","The order violates the free exercise clause of the First Amendment, as incorporated by the Fourteenth Amendment.",The order violates the equal protection clause of the Fourteenth Amendment.,The order violates the due process clause of the Fourteenth Amendment.,The order violates the privileges or immunities clause of the Fourteenth Amendment.,A,professional law,True,X
A,11883,"A truck driver was making deliveries for his employer. After telling his employer by phone that he was going for lunch and getting approval, he pulled into the entrance of a restaurant where he intended to have his usual 30- minute lunch break. While entering the parking lot, the driver carelessly ran over and seriously injured a pedestrian. The injured person sued the driver and the driver's employer for negligence in causing her injuries. Is the employer liable?","Yes, because of the doctrine of vicarious liability.","Yes, because the employer owned the truck.","No, because the employee was not within the scope of his employment.","No, because liability cannot be imputed from one person to another.",A,professional law,True,X
B,11885,"One night, a victim was in her home when she heard the doorbell ring. When the victim opened the door, she was confronted by three defendants. They pushed the victim inside her house and threatened her with bodily harm if she didn't cooperate. After tying her up with ropes, the trio then proceeded to ransack the victim's home. They then placed many of the victim's valuables and other possessions into a large sack and hurriedly left her house. What crimes should the defendants be convicted of?","Assault, battery, and robbery.","Larceny, robbery, and burglary.",Robbery only.,Robbery and burglary.,D,professional law,False,X
B,11886,"A landowner owned a large building in the city. On January 15, the landowner leased the building to a tenant for a period of 20 years at a rental of $10,000 per month. The leasehold agreement between the landowner and tenant provided that the latter was not permitted ""to assign this lease to anyone except a corporation with an A' credit rating from a well- known credit rating company. "" On February 1 of the following year, the tenant leased the premises to a corporation that did not have the required credit rating. The tenant corporation lease was for a period of five years, with a rental of $15,000 per month, payable by the corporation to the tenant. In addition, the corporation agreed to abide ""by all of the terms and conditions of the lease between the landowner and tenant. ""Which of the following accurately states the legal effect of the non-assignability clause contained in the landowner tenant leasehold contract?",The non-assignability provision made the assignment from the tenant to the corporation ineffective.,The non-assignability provision had no legal effect.,The tenant-corporation lease did not effectuate a breach of the landowner tenant contract.,"Although the tenant-corporation lease constituted a breach of the landowner tenant contract, the landowner would nevertheless be required to recognize the validity of the transfer (of the premises) to the corporation.",B,professional law,True,X
D,11887,"A company contracted with a builder to construct a new corporate headquarters for a fixed price of $100 million. At the time of the contract, structural steel was widely available and was included in the contract as a $6 million item. Before work began on the project, tornado damage shut down the production facility of the biggest structural steel supplier in the country, and the price of structural steel increased by 20% as a result. The builder informed the company of the steel price increase, and the parties then orally agreed to increase the project price to $101 million. The builder proceeded with construction and delivered the project on time. The company paid the builder $100 million but refused to pay the additional $1 million. If the builder sues the company for $1 million, is the builder likely to prevail?","No, because the modification was never reduced to a writing signed by the party to be charged.","No, because there was no consideration for the modification of the contract.","Yes, because the companyÕs promise was supported by consideration.","Yes, because the modification was fair and equitable in view of the unanticipated increase in the price of structural steel.",D,professional law,True,X
D,11889,"A defendant hated a victim and decided to kill him. The defendant put a loaded gun in his coat pocket and went outside for a walk, not sure if and when he may see the victim. The defendant passed by a bar and decided to go inside for a drink. While in the bar, he drank several bottles of beer and became intoxicated. While walking home from the bar, the defendant bumped into the victim. As soon as the defendant recognized him, he pulled out his gun and shot and killed the victim. In this jurisdiction, first-degree murder is defined as a premeditated and deliberate killing. All other forms of murder are second-degree murder. The defendant is guilty of",voluntary manslaughter.,second-degree murder.,involuntary manslaughter.,first-degree murder.,D,professional law,True,X
A,11890,"A state recently imposed a one cent tax on the playing of any coin-operated video game in any restaurant. Since virtually all of the video games required a payment of either a dime, quarter, or dollar, the imposition of this tax required a major costly adaptation on each video game to allow for the deposit of the additional one cent tax. Although many video game owners have complained about the video game tax, their only alternative is to absorb the tax themselves and lose one cent per game. As a consequence of the tax, fewer video games are purchased by the restaurant owners. No manufacturer of video games is located in the state. Which of the following is most likely to have standing to bring suit challenging the constitutionality of the video game tax bill in an appropriate federal court?",A state resident who frequently plays video games at restaurants.,A national video game association whose members travel to the state to play video games at restaurants.,A manufacturer of video games who is attempting to sell them to a restaurant owner in the state.,The director of the state's youth organization who wants to provide video games that only play for free at recreation centers within the state.,C,professional law,False,X
A,11892,"A newspaper printed an article stating that a local doctor was afflicted with a venereal disease and had volunteered for a program studying the various cures for the disease. The article was false, and was printed without adequate research. The doctor sued the newspaper company, claiming damages per se. The paper defended on the basis that this was a public interest article, that the paper was not reckless or malicious in its investigation and reporting, and that the doctor could not prove any special damages. Will the court adopt the defense reasoning and dismiss the case for failure to state a claim?","No, this fits the requirements for libel per se, which is so inflammatory that the doctor does not have to prove special damages.","Yes, the newspaper is allowed to make mistakes as long as there is no malice, and the case must be dismissed as a matter of law.","Yes, the doctor is a professional figure in the community and he must accept the risk of false reporting, especially where he cannot prove any special damages.","No, this fits the requirements for slander per se and there is a valid claim of malice stated against the paper.",A,professional law,True,X
B,11893,"A man has four German shepherd dogs that he has trained for guard duty and that he holds for breeding purposes. The man has ÒBeware of DogsÓ signs clearly posted around a fenced-in yard where he keeps the dogs. The manÕs next-door neighbor frequently walks past the manÕs house and knows about the dogsÕ ferocity. One summer day, the neighbor entered the manÕs fenced-in yard to retrieve a snow shovel that the man had borrowed during the past winter. The neighbor was attacked by one of the dogs and was severely injured. In a suit against the man, is the neighbor likely to prevail?","No, because the neighbor was trespassing when he entered the manÕs property.","No, because the neighbor knew that the man had dan-gerous dogs in the yard.","Yes, because the neighbor was an invitee for the pur-pose of retrieving the shovel.","Yes, because the man was engaged in an abnormally dangerous activity.",B,professional law,True,X
C,11894,"A defendant had an argument with his neighbor. As they were quarreling, the defendant pulled out his penknife intending only to frighten the neighbor. The defendant accidentally slightly nicked the neighbor's arm with the knife. Unknown to the defendant, his neighbor was a hemophiliac who then died from the cut. What is the most serious crime that the defendant can be convicted of?",Murder.,Voluntary manslaughter.,Involuntary manslaughter.,Battery.,C,professional law,True,X
A,11895,"Two college students were members of the same fraternity. During a fraternity party, the defendant pulled out a gun, pointed it at the other student and said, ""Beg for your life, sucker. "" The student, who knew that the defendant had a reputation as a practical joker, said, ""Get lost, you jerk. "" The defendant then pulled the trigger and shot the student to death. A statute in this jurisdiction provides: ""Any intentional and premeditated killing with malice aforethought is murder in the first degree. Murder in the second degree is any killing that occurs during the commission or attempted commission of a serious or inherently dangerous felony. Manslaughter includes all other types of unlawftil homicide and unjustifiable killings. ""The defendant was subsequently prosecuted for killing the student. At trial, the defendant testified that a fellow fraternity member gave him the gun before the shooting and told him that it was unloaded. If the jury believes the defendant, it should find him",guilty of manslaughter.,"guilty of assault, but not murder or manslaughter.",guilty of second-degree murder.,guilty of first-degree murder.,A,professional law,True,X
B,11896,"Defendant is on trial. Which of the following, if occurs, would NOT cause a due process violation in the trial?",The trial is conducted in a way that jurors would not be able to give evidence reasonable consideration.,The defendant is compelled to stand trial in street clothing.,The defendant is compelled to stand trial or appear at penalty phase proceedings visibly shackled (unless there are security concerns).,Jurors are exposed to influence favorable to the prosecution.,B,professional law,True,X
C,11899,"A football player was the star fulllack for the local college football team. After missing two practices, the football player was dropped from the team by the head football coach. Following his dismissal, the football player met with the coach and asked if he could rejoin the team. The coach said that the football player was despised by the other players and under no circumstances could he return to the team. As the football player was leaving the coach's office, feeling very dejected, the coach then said to him, ""Hope you decide to transfer, because everybody hates your guts around here. ""Later that same evening, the football player wrote a suicide note in which he stated, ""The coach is responsible for my despondency. If I can't play football, I don't want to live. "" After swallowing a bottle of Quaalude barbiturates, the football player fell unconscious in his dormitory room. Moments later, the football player's roommate entered the room and saw his limp body on the floor. The roommate read the suicide note and then attempted to administer aid. Failing to revive him, the roommate picked up the football player and carried him to the college's first aid center. The football player received prompt medical attention and soon recovered from his drug overdose. If the football player asserts a claim against the coach based on intentional infliction of emotional distress, the football player will most likely","prevail, because the coach intended to cause him to suffer emotional distress.","prevail, because the coach's remark did, in fact, cause the football player to suffer emotional distress.","not prevail, because the football player's drug overdose resulted from his own voluntary act.","not prevail, because the coach acted reasonably under the circumstances, since everyone on the team hated the football player.",C,professional law,True,X
C,11900,"A girlfriend lived with her boyfriend in a small apartment. The boyfriend was a gun enthusiast who kept a collection of antique pistols and firearms in the apartment. The boyfriend was also an avid baseball fan and had a fanatic devotion to his favorite team. One evening, the boyfriend was watching his beloved team play their archrival on television. His favorite team lost in extra innings. After the game, the boyfriend became despondent and told his girlfriend that he was so disgusted that he was going to kill himself. The boyfriend took one of the pistols from his gun collection and shot himself in the head. As the boyfriend fell to the floor, wounded, his girlfriend couldn't believe her eyes. At first she thought that she should call 911 for an ambulance. But she was afraid that the police might think that she was responsible for the shooting. Consequently, she decided to do nothing. She proceeded to leave the apartment and spent the night at her mother's home. The boyfriend did not immediately die from the gunshot wound. A subsequent medical examiner's report concluded that the boyfriend died from loss of blood approximately two hours after the shooting. If the girlfriend had sought immediate medical assistance, the boyfriend would have lived. The girlfriend is subsequently prosecuted for her boyffiend's death. She should be found",guilty of first-degree murder.,guilty of second-degree murder.,guilty of involuntary manslaughter.,"not guilty, because she had no legal duty to render assistance.",C,professional law,True,X
A,11902,"A man was visiting his friend at the friend's cabin. The man decided to surprise the friend with some fireworks, so he purchased some fireworks and hid them under his friend's chair on the friend's porch. That evening, the friend went outside to smoke and dropped his unfinished cigarette next to his chair on the porch. The cigarette ignited the fireworks, and the fireworks immediately exploded, causing extensive damage to the friend and to his cabin. The man was arrested and is being prosecuted for arson. Will the man be found guilty of arson?","No, because the man never intended to hurt the friend.","Yes, because the man indirectly set fire to the friend's cabin.","No, because the man did not intend to burn down the cabin and was not guilty of wanton and willful misconduct.","Yes, because the injury to the friend and to his cabin was the natural result of the man's actions.",C,professional law,False,X
C,11903,"A man and a woman are adjoining landowners in an area of large estates located in the ""chateau"" region of southeastern Louisiana. In 2000, the man inherited his estate from his father, whose family had owned the property continuously since 1812. The woman purchased her estate in 2008. The man had a stable, which housed many valuable racing horses, on his property. The stable, built in 2002, stood on a portion of the man's land located only 10 feet from the border of the woman's property. Not infrequently, putrid stenches arose from the man's property, caused by large accumulations of horse manure, which were left unattended. The woman had often complained to the man of the noises and odors emanating from the stable. The woman brought an appropriate action to enjoin the man's use of the stables. Judgment is likely to be for whom?","The man, because the woman moved onto her property after the stable had been built.","The man, because a homeowner is entitled to make reasonable use of his property.","The woman, because the noise, coupled with the odors, substantially interfered with the use and enjoyment of her land.","The woman, because the man was negligent in permitting the manure to be left unattended.",C,professional law,True,X
A,11904,"A father conveyed a parcel of real estate to his three daughters by a warranty deed. The deed recited that the title was conveyed to the three siblings ""as joint tenants with the right of survivorship, and not as tenants in common."" One of the sisters, during the lifetime of all three, conveyed an ""undivided one-third interest"" to a third party. The third party died, leaving a will that bequeathed her one-third interest to her son. Is the son's ownership interest enforceable in the face of the claim by the two non-selling sisters that they own 100% of the property pursuant to the law regarding joint tenancies?","No, because each joint tenant owns an equal and undivided interest in the whole of the property, making invalid the sister's attempted conveyance of a one-third interest.","Yes, only a will can create a joint tenancy; the deed was invalid for that purpose and resulted in a tenancy in common by operation of law.","Yes, because the conveyance severed the joint tenancy, and the third party took a one-third interest that she could pass by will to her son.","No, because the selling sister did not take steps to get a court order to sever the joint tenancy prior to conveying a deed to a third party.",C,professional law,False,X
A,11905,"During an ice storm, a man's car slipped down an embankment and became lodged against a large tree. The man called a towing company and told the company's manager that the car was 100 feet down the embankment. ""That's lucky,"" said the manager, ""because our winch only goes 100 feet."" After the manager and the man agreed on a price, an employee of the company attempted to reach the car but could not because the car turned out to be 120 feet down the embankment. Is the towing company's performance excused on the grounds of mistake?","Yes, because at the time of contracting, both parties were mistaken about a basic assumption on which the contract was based.","No, because the towing company assumed the risk by the manager's failure to examine the distance himself.","No, because both parties were uncertain about the distance.","Yes, because the agreement did not allocate the risk of mistake to either party.",A,professional law,True,X
B,11906,"A plaintiff sued a defendant in federal court for injuries arising out of an accident involving the parties. The plaintiff alleged and presented evidence at trial demonstrating that her injuries had left her legs permanently paralyzed. The jury found in favor of the plaintiff and awarded her $5 million in damages. Two months after the court entered judgment, the defendant was given a videotape made that day showing the plaintiff jogging with her doctor. What is the best way for the defendant to seek relief from the judgment?",Move for a new trial or in the alternative for remittitur to reduce the award in light of the shortened duration of the plaintiff's injuries.,Move for relief from the judgment on the ground that the plaintiff committed a fraud in obtaining damages for permanent injuries.,Move for relief from the judgment on the ground that there is newly discovered evidence that the plaintiff's injuries were not permanent.,Move for relief from the judgment on the ground that the judgment was based on the jury's mistaken belief that the plaintiff's injuries would be permanent.,B,professional law,True,X
B,11907,"A hotel guest suffered personal injuries from a fire started by an arsonist. The hotel had no sprinkler systems or smoke detectors. After settling with the hotel, the guest sued the manufacturer of the carpet that was in her room and elsewhere in the hotel. The carpet caused the fire to spread rapidly due to its easy flammability. Evidence proved that the manufacturer knew of the product's flammability and that it would be used in buildings lacking proper safety measures. The manufacturer argued that the hotel's negligence and the criminal act of the arsonist were both superseding causes, thus abrogating the manufacturer's liability as a matter of law. How did the trial court most likely rule on that issue?",The intervening causes did not relieve the manufacturer of liability.,The intervening causes relieved the manufacturer of liability.,The intervening causes were irrelevant due to the strict liability of the manufacturer.,"By not suing the arsonist first, the guest waived her right to sue the manufacturer.",A,professional law,False,X
D,11908,"A retailer agreed to purchase an orchard's total cherry production for a 12-month period. The contract included this provision: ""Terms: Cash upon delivery  deliveries to be made at least twice per month."" The deliveries went as scheduled. At the beginning of the fifth month, the orchard sent notice to the retailer that a load of cherries was ready for pick up. The truck driver, however, forgot to take the retailer's check with him. The orchard turned over the cherries but advised the retailer to pay within three days. The retailer sent the check by mail but it arrived late by two days. The orchard refused to deliver any more cherries. The retailer sued the orchard for breach of the installment contract and demanded the difference in price between the cherries on the open market and what he would have paid under the contract. The orchard claimed that the delayed payment impaired the value of the contract and moved to dismiss. Will the court grant the orchard's motion to dismiss?","Yes, the agreement called for cash at delivery, which was not done when the driver forgot to deliver the check.","Yes, the failure to make an installment on time was a breach because time is of the essence in all installment agreements.","No, there is always a grace period of ten days for any single payment pertaining to an installment contract.","No, the delay in one payment under these facts was not enough to impair the value of the contract under the Uniform Commercial Code.",D,professional law,True,X
B,11911,"A builder wanted to have security systems installed in a series of homes he was building. He contacted several companies and asked them to submit bids for the installation work. An alarm company decided to submit a bid and, in turn, requested bids from several wholesalers for the burglar alarms it planned to use if it was awarded the job. A supplier submitted a bid to the alarm company that the latter used in computing the bid that it was preparing for the builder. On September 1, the alarm company sent the builder its bid, in which it proposed to install the security systems for $100,000. On September 9, the supplier notified the alarm company that it would be unable to supply any burglar alarms to them. On September 11, the builder sent the following fax to the alarm company: ""I hereby accept your offer to install the security systems for $100,000. ""The alarm company had to pay another wholesaler $10,000 above the price quoted by the supplier for the burglar alarms. As a result, the alarm company advised the builder that the total price for the job would have to be increased to $10,000. The builder replied that he would hold the alarm company to the initially agreed price of $100,000. The alarm company installed the security systems, but the builder has not yet paid them anything. In an action by the alarm company against the builder for services rendered, the alarm company will probably be able to recover","$110,000 because of an unanticipated changeof circumstances after the parties had entered into their contract.","$100,000, because that was the contract price.","only in quantum meruit, because of the doctrine of commercial frustration.","only in quantum meruit, because by demanding $110,000 the alarm company repudiated its contract with the builder.",B,professional law,True,X
A,11912,"Max entered a mini-mart store, pulled out a gun, and demanded that the cashier empty the register. As he nervously looked around for police, the cashier reached out and attempted to grab the gun. Max then droped the gun, which accidentally discharged, killing a nearby customer. Max is charged with first degree murder. He will likely be","Convicted, because any death that is a natural and probable consequence of a felony is first degree murder.","Acquitted, because the cashier's actions were the proximate cause of the death.","Acquitted, because he lacked the necessary intent required for first degree murder.","Convicted, because intent to commit serious bodily harm is assumed when a deadly weapon is used.",A,professional law,True,X
B,11913,"A man committed a series of heinous crimes, including a kidnapping, that took him across state lines and violated federal law. He was convicted and received a life sentence. The felon, however, was pardoned by the President of the United States, who was a childhood friend. A great hue and cry ensued, and the talking heads on television proclaimed that legislation was needed to prevent such injustice again. Would such legislation be constitutional?","Yes, under Article I.","No. While what the president did wasn't a good idea, the Constitution expressly grants the President an unqualified power to pardon.","Yes, under Article II","Yes, because Congress can put limits on the pardon power.",B,professional law,True,X
B,11914,"Kendall and Thornton agree to form a partnership, but both agree that only Kendall will manage the business and make all business decisions and execute all contracts with third parties. After that time, Thornton then enters into a long-term service contract for the partnership with Clark, who does not know of the internal agreement. The contract of Thornton with Clark is","enforceable, as the partners' agreement cannot withhold statutory authority of a general partner to bind the partnership.","enforceable, as Clark has no knowledge of Thornton's lack of authority.","unenforceable, as Thornton is unauthorized to execute the contract by the partner agreement.","unenforceable, as Clark had an obligation to confirm Thornton's authority prior to entering into a service contract with the partnership.",B,professional law,True,X
C,11915,"Fourth-grader Billy Bully started a fist fight with 10-year-old Jack DeLong. Billy thought Jack was a weakling, but Jack had been working out with weights and knew karate. Ike Intervenor, a large 25-year-old who knew neither party, strolled around the corner of the block in time to see Jack strike Billy twice. Billy fell back and Jack stepped forward to strike him again. Ike thought Jack was the aggressor and to protect Billy, Ike threw Jack into the bushes, accidentally breaking Jack's arm. Jack brought suit against Ike for his damages. Ike's best defense is",He thought Jack was the initial aggressor.,The force Ike used was not excessive.,Billy had a valid defense if Jack sued him.,"He had no intention of injuring Jack, only to stop his beating of Billy.",C,professional law,True,X
A,11916,"A woman and her 4-year-old son were Christmas shopping at a toy store. The toy store sells a complete array of toys, games, dolls, hobbies, and crafts. The items were displayed on a variety of tables and shelves, which were easily accessible to the customers. While the woman was walking down one of the aisles, her attention became focused on a doll that was prominently exhibited on an overhead display shelf. When the woman approached the doll display, she reached up to grab the doll. As she did so, the woman failed to see a baseball lying on the floor. She tripped over the baseball and fell down, fracturing her hip. If the woman asserts a claim against the toy store for her injuries, will the doctrine of res ipsa loquitur apply on the issue of whether the toy store was negligent and responsible for the baseball being on the floor?","Yes, because the toy store was in control of the premises at the time of the accident.","No, because another customer may have caused the baseball to be on the floor.","Yes, because the woman was a business invitee on the premises of the toy store.","No, because the baseball was an intervening act that cuts off the toy store's liability.",B,professional law,False,X
C,11917,"At a defendant's trial for drug dealing, a prosecution witness testified that he had heard the defendant telling a group of people to come to the defendant's house because he had ""a great crop of apples for sale."" The prosecutor then called and qualified a drug enforcement agent as an expert in how drug dealing is conducted. The prosecutor now seeks to have the expert testify that in her opinion, based on years of experience with drug dealers, the defendant's statement about the apples was code for his having drugs for sale. Should the expert's opinion be admitted?","No, because an expert must base his or her opinion on scientific or technical data, not merely on experience.","No, because the opinion is based on the criminal actions of others engaged in drug dealing, and thus is substantially more unfairly prejudicial than probative.","Yes, because the opinion is based on her specialized knowledge, and it will assist the trier of fact in understanding the evidence and determining facts in issue in the case.","Yes, provided that the expert first testifies about the specific information upon which she based her view that the defendant was using ""apples"" as a code word to refer to drugs.",C,professional law,True,X
D,11919,"A state legislature has proposed a bill setting up a postal service. Under the proposal, the postal service would be established as a separate state agency under the direction of a postmaster general. The postal service would be responsible for the overnight or express delivery of official governmental mailings within the state. The bill further provides that all state government employees may utilize the overnight postal service at no charge for sending mailings to persons or corporations within the state. Assume that no other state has established such a postal service to date. Moreover, assume there is uncontradicted evidence that the establishment of such an independent state postal service will diminish the revenues of the U. S. Postal Service. Which of the following, if established, is the strongest argument in support of the proposed legislation?","Under the Tenth Amendment, a state has exclusive authority to regulate transactions that are wholly intrastate.","Since the proposed bill is not inconsistent with congressional postal power, it is valid under the supremacy clause.",State employees may be exempt from paying for mailing charges under intergovernmental immunity provided Congress has enacted a similar exemption for federal governmental employees.,There is a legitimate state interest in ensuring that governmental mailings are delivered expeditiously.,D,professional law,True,X
C,11920,"After two men robbed a local bank, they left the bank and went in different directions with a plan to meet three days later at the train station. Two days after the robbeiy, one of the men was involved in an auto accident. The man was rushed to the hospital and taken to the x-ray room. A doctor positioned the man so that the x-ray technician would be able to take x-rays of his lower back area. Based on the man's complaints about the area of pain, the doctor stated, ""It seems as if you might have a fractured pelvis. If you do, you'll have to stay in bed for several weeks. "" The man responded that he couldn't do that because he had to meet the other man tomorrow. A technician who was in the room at the time overheard the man's response to the doctor. Subsequently, both men are charged with robbery and conspiracy. At the man's trial, as evidence of a conspiracy, the prosecution attempts to introduce the doctor's testimony that the man said, ""I have to meet the other man tomorrow. "" The defense objects. This evidence is","inadmissible, because it violates the physician- patient privilege.","admissible, because the technician overheard the conversation.","admissible, because of the nature of the man's statements.","admissible, because the statement was not confidential, under the circumstances.",C,professional law,True,X
B,11922,"As a legislative aide to a U. S. Senator you are called upon to provide an analysis of the constitutionality of a bill pending congressional approval. The bill imposes a 15% tax upon the gross annual receipts from the sales of all birth control devices. The bill has the strong support of conservative and pro-life organizations. The stated purpose of the proposed measure is to raise revenue and spur population growth across the country. In your learned opinion, the proposed tax is probably","constitutional, because the fact that the tax applies to all sales of every type of birth control device invalidates any possible objection to the tax on the grounds that it violates the equal protection clause of the Fourteenth Amendment.","constitutional, because the fact that controversial policy motives may have induced the enactment of an otherwise reasonable measure calculated to raise revenue does not ipso facto invalidate the tax.","unconstitutional, because in inseverable aggregates, the domestic purchases and sales of birth control devices affect interstate and foreign commerce.","unconstitutional, because the tax burdens the fundamental right to privacy of users of birth control devices without establishing a compelling national interest for doing so.",B,professional law,True,X
B,11923,"In 1993, a landowner had good record title toa vineyard in fee simple absolute. In 1994, thelandowner delivered to his son, for a sum of $1,000,a deed signed by the landowner, naming the son andhis heirs as grantee, and appearing valid on its face. The son neglected to record the deed. In 1998, a farmer, aware of the existence of the landowner-to-son deed, sought out the landowner and asked to buy for $10,000 a deed of the vineyard from the landowner to the farmer and his heirs. The landowner executed such a deed, and the farmer promptly recorded it. The farmer's intent was to acquire color of title and obtain ownership of the vineyard by adverse possession. In 1998, the farmer constructed a fence around the vineyard. In 1999, the son presented his deed of the vineyard to an investor and, for $15,000, paid by the investor, signed and delivered a deed of the vineyard in favor of the investor and his heirs. After receiving the deed, the investor made no effort to search the title, to examine the property, or to record the deed. In 2003, a vintner paid the farmer $20,000, and the farmer delivered to the vintner a deed of the vineyard in favor of the vintner and his heirs. The vintner had examined the property, had searched the title, and had no knowledge of the farmer's awareness of the prior landowner-to-son instrument. Although the vintner did not reside on the property, he regularly visited the vineyard twice a week. The vintner recorded his deed. In 2007, for $25,000, paid by a farmer, the investor signed and delivered a deed of the vineyard naming the farmer and his heirs as grantees. Before the farmer had paid the investor and taken his deed, the farmer visited the vineyard and observed the fence. However, the vintner was not present when the farmer visited the property, and nothing suggested who if anyone was using it. In any case, the farmer did not attempt to search the title before making his purchase. The farmer then recorded the deed. This jurisdiction uses Grantor  Grantee Indices and has no Tract IndexIn 2008, what is the present state of title to the vineyard if the jurisdiction's recording act provides:""Every conveyance of real estate which is not recorded is void against a subsequent purchaser in good faith for valuable consideration, whose conveyance shall be first duly recorded""?","In a race notice jurisdiction, the farmer, as a subsequent bonafide purchaser, would acquire record title to the vineyard, because he was the last in time to record.","In a race notice jurisdiction, the vintner, as a subsequent bonafide purchaser without notice of the prior landowner-to-son instrument, would acquire record title to the vineyard, because he recorded his deed first in time.","In a pure race jurisdiction, the vintner, as a subsequent bonafide purchaser without notice of the prior landowner-to-son instrument, would acquire record title to the vineyard, because he recorded his deed first in time.","In a pure race jurisdiction, the farmer would acquire record title to the vineyard, because he purchased the property for value and recorded first in time.",B,professional law,True,X
D,11924,"A woman was in a public restroom at a mall. While the woman was at the sink, a man entered the restroom and told her not to make a sound. Frightened, the woman ran to an open window in the bathroom and jumped onto the fire escape. As she exited down the fire escape, the woman accidentally fell, bruising her legs. Which of the following crimes, if any, would the man most likely be convicted of?",Assault.,Battery.,Assault with intent to commit rape.,No crime.,D,professional law,True,X
